dataset	algorithm	proc	n_edges	GS_src	precision	recall	fscore
gasch_GSE102475	inferelator	normalized	100	hu	0.0000	0.0000	0.0000
gasch_GSE102475	inferelator	normalized	300	hu	0.0067	0.0003	0.0006
gasch_GSE102475	inferelator	normalized	500	hu	0.0120	0.0009	0.0017
gasch_GSE102475	inferelator	normalized	1000	hu	0.0110	0.0017	0.0030
gasch_GSE102475	inferelator	normalized	3000	hu	0.0163	0.0077	0.0105
gasch_GSE102475	inferelator	normalized	5000	hu	0.0182	0.0143	0.0160
gasch_GSE102475	inferelator	normalized	10000	hu	0.0209	0.0328	0.0255
gasch_GSE102475	inferelator	normalized	30000	hu	0.0213	0.1003	0.0351
gasch_GSE102475	inferelator	normalized	50000	hu	0.0186	0.1464	0.0331
gasch_GSE102475	inferelator	normalized	100	mac2	0.0100	0.0005	0.0009
gasch_GSE102475	inferelator	normalized	300	mac2	0.0167	0.0023	0.0040
gasch_GSE102475	inferelator	normalized	500	mac2	0.0160	0.0037	0.0060
gasch_GSE102475	inferelator	normalized	1000	mac2	0.0220	0.0101	0.0138
gasch_GSE102475	inferelator	normalized	3000	mac2	0.0233	0.0320	0.0270
gasch_GSE102475	inferelator	normalized	5000	mac2	0.0212	0.0485	0.0295
gasch_GSE102475	inferelator	normalized	10000	mac2	0.0187	0.0855	0.0307
gasch_GSE102475	inferelator	normalized	30000	mac2	0.0271	0.3715	0.0505
gasch_GSE102475	inferelator	normalized	50000	mac2	0.0205	0.4680	0.0392
gasch_GSE102475	inferelator	normalized	100	yeastract_c3	0.0300	0.0013	0.0025
gasch_GSE102475	inferelator	normalized	300	yeastract_c3	0.0233	0.0030	0.0053
gasch_GSE102475	inferelator	normalized	500	yeastract_c3	0.0180	0.0039	0.0064
gasch_GSE102475	inferelator	normalized	1000	yeastract_c3	0.0260	0.0111	0.0156
gasch_GSE102475	inferelator	normalized	3000	yeastract_c3	0.0323	0.0416	0.0364
gasch_GSE102475	inferelator	normalized	5000	yeastract_c3	0.0288	0.0617	0.0393
gasch_GSE102475	inferelator	normalized	10000	yeastract_c3	0.0227	0.0973	0.0368
gasch_GSE102475	inferelator	normalized	30000	yeastract_c3	0.0185	0.2376	0.0343
gasch_GSE102475	inferelator	normalized	50000	yeastract_c3	0.0187	0.4018	0.0358
gasch_GSE102475	inferelator	normalized	100	yeastract_t2	0.0500	0.0019	0.0037
gasch_GSE102475	inferelator	normalized	300	yeastract_t2	0.0367	0.0043	0.0077
